slang,correct
luv,love
wud,would
lyk,like
wateva,whatever
ttyl,talk to you later
kul,cool
fyn,fine
omg,oh my god!
fam,family
bruh,brother
cud,could
fud,food
tho,though
ppl,people
peopl,people
afaik,as far as i know
afk,away from keyboard
asap,as soon as possible
atk,at the keyboard
atm,at the moment
a3,anytime anywhere anyplace
bak,back at keyboard
bbl,be back later
bbs,be back soon
bfn,bye for now
b4n,bye for now
brb,be right back
brt,be right there
btw,by the way
b4,before
b4n,bye for now
cu,see you
cul8r,see you later
cya,see you
faq,frequently asked questions
fc,fingers crossed
fwiw,for what it's worth
fyi,for your information
gal,get a life
gg,good game
gn,good night
gmta,great minds think alike
gr8,great!
g9,genius
ic,i see
icq,i seek you (also a chat program)
ilu,ilu: i love you
imho,in my honest/humble opinion
imo,in my opinion
iow,in other words
irl,in real life
kiss,keep it simple stupid
ldr,long distance relationship
lmao,laugh my ass off
lol,laughing out loud
ltns,long time no see
luv,love
l8r,later
mte,my thoughts exactly
m8,mate
nrn,no reply necessary
oic,oh i see
pita,pain in the ass
prt,party
prw,parents are watching
rofl,rolling on the floor laughing
roflol,rolling on the floor laughing out loud
rotflmao,rolling on the floor laughing my ass off
sk8,skate
stats,your sex and age
asl,age sex location
thx,thank you
ttfn,ta-ta for now
ttyl,talk to you later
u,you
u2,you too
u4e,yours for ever
wb,welcome back
wtf,what the fuck
wtg,way to go!
wuf,where are you from?
w8,wait what
'cause,because
cuz,because
nagger,nigger
nicca,nigga
b1tch,bitch
g4y,gay
f4g,fag
f4ggot,faggot
pussi,pussy
ugli,ugly
